番組ID,実績,CP売上負担額合計,情報提供料合計,ファイル名
OWD_shape_01,34500,961,12839.0,SalesSummary_202403_OWD_detail.csv
OWD_shintaku_01,14500,333,5467.0,SalesSummary_202403_OWD_detail.csv
OWD_suehiro_01,4100,103,1537.0,SalesSummary_202403_OWD_detail.csv
OWD_sugano_02,1200,30,450.0,SalesSummary_202403_OWD_detail.csv
OWD_tachibana_01,7600,191,2849.0,SalesSummary_202403_OWD_detail.csv
OWD_tenmei_01,2200,55,825.0,SalesSummary_202403_OWD_detail.csv
OWD_tsukikage_01,4800,121,1799.0,SalesSummary_202403_OWD_detail.csv
OWD_william_01,2600,66,974.0,SalesSummary_202403_OWD_detail.csv
OWD_yuki_01,500,13,187.0,SalesSummary_202403_OWD_detail.csv
OWD_Milla_01,300,9,111.0,SalesSummary_202404_OWD_detail.csv
OWD_aiga_01,800,0,320.0,SalesSummary_202404_OWD_detail.csv
OWD_aqua_01,500,13,187.0,SalesSummary_202404_OWD_detail.csv
OWD_aron_01,8200,206,3074.0,SalesSummary_202404_OWD_detail.csv
OWD_asuka_01,1200,30,450.0,SalesSummary_202404_OWD_detail.csv
OWD_asuka_02,1300,0,520.0,SalesSummary_202404_OWD_detail.csv
OWD_chazz_01,2300,25,895.0,SalesSummary_202404_OWD_detail.csv
OWD_daiyang_01,800,20,300.0,SalesSummary_202404_OWD_detail.csv
OWD_hakuryu_01,9000,95,3505.0,SalesSummary_202404_OWD_detail.csv
OWD_houjo_01,2000,50,750.0,SalesSummary_202404_OWD_detail.csv
OWD_isha_01,3600,18,1422.0,SalesSummary_202404_OWD_detail.csv
OWD_kasya_01,1000,25,375.0,SalesSummary_202404_OWD_detail.csv
OWD_keiko_01,20300,571,7549.0,SalesSummary_202404_OWD_detail.csv
OWD_keiko_03,2600,33,1007.0,SalesSummary_202404_OWD_detail.csv
OWD_keiko_04,5300,109,2011.0,SalesSummary_202404_OWD_detail.csv
OWD_klara_01,700,18,262.0,SalesSummary_202404_OWD_detail.csv
OWD_koike_01,15800,849,5471.0,SalesSummary_202404_OWD_detail.csv
OWD_macalon_01,7100,271,2569.0,SalesSummary_202404_OWD_detail.csv
OWD_mimoe_01,1000,25,375.0,SalesSummary_202404_OWD_detail.csv
OWD_mineka_01,6300,26,2494.0,SalesSummary_202404_OWD_detail.csv
OWD_mokuren_01,2700,68,1012.0,SalesSummary_202404_OWD_detail.csv
OWD_narusawa_01,1900,48,712.0,SalesSummary_202404_OWD_detail.csv
OWD_niutouko_01,1800,45,675.0,SalesSummary_202404_OWD_detail.csv
OWD_ophelia_01,2000,50,750.0,SalesSummary_202404_OWD_detail.csv
OWD_risui_01,3200,49,1231.0,SalesSummary_202404_OWD_detail.csv
OWD_shape_01,39800,985,14935.0,SalesSummary_202404_OWD_detail.csv
OWD_shintaku_01,4900,69,1891.0,SalesSummary_202404_OWD_detail.csv
OWD_suehiro_01,2800,70,1050.0,SalesSummary_202404_OWD_detail.csv
OWD_tomoko_01,5800,145,2175.0,SalesSummary_202404_OWD_detail.csv
OWD_tsukikage_01,10400,232,3928.0,SalesSummary_202404_OWD_detail.csv
OWD_yuki_01,12400,195,4765.0,SalesSummary_202404_OWD_detail.csv
OWD_Milla_01,9100,178,3462.0,SalesSummary_202405_OWD_detail.csv
OWD_Sasha_01,2300,28,892.0,SalesSummary_202405_OWD_detail.csv
OWD_aiga_01,1600,40,600.0,SalesSummary_202405_OWD_detail.csv
OWD_chazz_01,3500,0,1400.0,SalesSummary_202405_OWD_detail.csv
OWD_daiyang_01,2400,60,900.0,SalesSummary_202405_OWD_detail.csv
OWD_eremaria_01,2300,20,900.0,SalesSummary_202405_OWD_detail.csv
OWD_fujita_01,8000,125,3075.0,SalesSummary_202405_OWD_detail.csv
OWD_hakuryu_01,1600,40,600.0,SalesSummary_202405_OWD_detail.csv
OWD_ikai_01,2300,33,887.0,SalesSummary_202405_OWD_detail.csv
OWD_isha_01,3000,76,1124.0,SalesSummary_202405_OWD_detail.csv
OWD_kanon_01,3600,40,1400.0,SalesSummary_202405_OWD_detail.csv
OWD_kasya_01,800,0,320.0,SalesSummary_202405_OWD_detail.csv
OWD_keiko_01,36500,1279,13321.0,SalesSummary_202405_OWD_detail.csv
OWD_keiko_02,2600,260,780.0,SalesSummary_202405_OWD_detail.csv
OWD_keiko_03,2600,66,974.0,SalesSummary_202405_OWD_detail.csv
OWD_keiko_04,1000,26,374.0,SalesSummary_202405_OWD_detail.csv
OWD_kiko_01,2000,25,775.0,SalesSummary_202405_OWD_detail.csv
OWD_klara_01,4700,98,1782.0,SalesSummary_202405_OWD_detail.csv
OWD_koike_01,6500,374,2226.0,SalesSummary_202405_OWD_detail.csv
OWD_koyanagi_01,2200,0,880.0,SalesSummary_202405_OWD_detail.csv
OWD_macalon_01,7900,189,2971.0,SalesSummary_202405_OWD_detail.csv
OWD_mermaid_01,3300,84,1236.0,SalesSummary_202405_OWD_detail.csv
OWD_miesha_01,6700,132,2548.0,SalesSummary_202405_OWD_detail.csv
OWD_mikomaria_01,1300,33,487.0,SalesSummary_202405_OWD_detail.csv
OWD_miku_02,1800,45,675.0,SalesSummary_202405_OWD_detail.csv
OWD_mimoe_01,1100,28,412.0,SalesSummary_202405_OWD_detail.csv
OWD_mokuren_01,4800,120,1800.0,SalesSummary_202405_OWD_detail.csv
